"","LIBELLE_ARRET"
"1","PORTE MAILLOT"
"2","ALESIA"
"3","BOULOGNE-PONT DE SAINT CLOUD"
"4","OLYMPIADES"
"5","LES AGNETTES-ASNIERES-GENNEVILLIERS"
"6","LES COURTILLES"
"7","BOURSE"
"8","BREGUET-SABIN"
"9","CRETEIL-P. LAC"
"10","FR. POPULAIRE "
"11","ALEXANDRE DUMAS"
"12","BROCHANT"
"13","M. MONTROUGE  "
"14","ECOLE VETERINAIRE DE MAISONS-ALFORT"
"15","BUTTES-CHAUMONT"
"16","BUZENVAL"
"17","CADET"
"18","CAMBRONNE"
"19","CAMPO-FORMIO"
"20","CARDINAL-LEMOINE"
"21","CARREFOUR PLEYEL"
"22","CENSIER-DAUBENTON"
"23","ALMA-MARCEAU"
"24","CHAMPS-ELYSEES-CLEMENCEAU"
"25","CHARDON-LAGACHE"
"26","CHARENTON-ECOLES"
"27","CHARLES DE GAULLE ETOILE"
"28","CHARLES MICHELS"
"29","CHARONNE"
"30","CHATEAU D'EAU"
"31","ANATOLE FRANCE"
"32","CHATEAU DE VINCENNES"
"33","CHATEAU-LANDON"
"34","CHATELET"
"35","CHATILLON-MONTROUGE"
"36","CHAUSSEE D'ANTIN (LA FAYETTE)"
"37","CHEMIN VERT"
"38","CHEVALERET"
"39","CITE"
"40","COLONEL FABIEN"
"41","COMMERCE"
"42","CONCORDE"
"43","ABBESSES"
"44","CONVENTION"
"45","CORENTIN CARIOU"
"46","ANVERS"
"47","CORENTIN-CELTON"
"48","CORVISART"
"49","COURCELLES"
"50","COURONNES"
"51","COUR SAINT-EMILION"
"52","CRETEIL-L'ECHAT (HOPITAL MONDOR)"
"53","CRETEIL-PREFECTURE (HOTEL DE VILLE)"
"54","CRETEIL-UNIVERSITE"
"55","CRIMEE"
"56","CROIX DE CHAVAUX (JACQUES DUCLOS)"
"57","DANUBE"
"58","DAUMESNIL"
"59","DENFERT-ROCHEREAU"
"60","DUGOMMIER"
"61","DUPLEIX"
"62","DUROC"
"63","ECOLE MILITAIRE"
"64","ARGENTINE"
"65","EDGAR QUINET"
"66","EGLISE D'AUTEUIL"
"67","EGLISE DE PANTIN"
"68","ESPLANADE DE LA DEFENSE"
"69","ARTS ET METIERS"
